20,1114
20,1112
16,1104
16,1106
17,1111
17,1113
17,1102
17,1103
17,1092
12,1100
13,1098
12,1104
14,1084
13,1084
13,1083
13,1088
13,1082
9,1079
9,1078
9,1082
9,1075
8,1089
8,1082
10,1087
9,1065
9,1069
8,1070
8,1079
8,1066
7,1063
8,1072
6,1070
6,1059
6,1060
6,1062
7,1060
8,1061
6,1051
6,1059
6,1040
7,1056
7,1052
7,1048
7,1049
6,1052
4,1051
6,1029
6,1039
9,1046
3,1026
8,1026
6,1026
6,1028
8,1042
7,1020
6,1028
6,1027
6,1026
6,1020
6,1026
6,1010
8,1004
7,1019
7,1000
7,1001
5,1001
6,999
8,1007
6,989
7,1006
7,1003
6,998
6,994
7,984
6,989
7,985
6,980
9,985
9,986
10,992
8,979
8,983
9,971
9,975
10,973
8,968
9,967
13,966
13,967
13,958
13,972
13,971
13,957
13,952
12,950
16,953
16,951
16,960
16,950
17,955
17,951
16,942
20,948
20,948
21,950
20,950
21,946
24,931
24,930
24,931
25,938
24,938
24,935
28,922
28,924
27,920
28,919
27,913
32,915
31,916
32,914
32,917
35,908
36,907
36,915
36,915
40,911
40,907
38,902
40,905
41,903
43,895
43,891
44,892
47,897
48,897
47,889
47,883
52,883
51,877
51,887
51,889
56,872
55,874
56,876
59,877
60,881
62,878
64,870
63,860
64,868
63,859
68,867
70,872
67,855
72,856
71,857
70,848
77,861
76,849
75,846
80,846
80,847
84,852
83,836
85,851
89,845
91,847
88,840
93,837
93,833
96,831
96,829
97,834
101,833
101,831
101,822
107,830
104,824
108,820
110,821
109,820
113,821
114,816
117,812
120,814
122,811
120,801
119,798
124,797
125,794
130,796
129,795
134,795
134,796
138,794
140,795
137,784
141,780
141,783
145,782
144,781
149,782
149,782
152,775
154,780
160,782
156,772
161,772
162,774
164,763
166,773
169,765
170,767
174,769
177,767
181,767
176,750
182,758
182,757
184,750
186,756
186,742
188,750
192,747
199,752
195,742
200,744
198,734
202,739
202,730
207,731
207,728
211,728
217,730
217,733
218,721
220,732
222,717
224,715
230,723
235,726
230,710
236,715
239,718
240,706
242,706
244,704
250,711
248,701
256,710
258,714
261,701
263,707
261,693
266,696
272,697
271,697
272,687
278,689
275,684
280,681
285,684
283,678
290,683
295,685
291,669
297,681
297,672
298,671
305,680
308,667
309,671
312,667
317,665
316,662
322,664
322,657
322,652
326,652
332,653
331,652
334,647
341,648
346,650
347,654
346,637
353,642
353,638
357,640
361,638
364,633
362,629
367,626
372,629
380,634
376,623
384,630
386,624
385,620
389,615
396,622
400,621
403,614
403,616
405,611
406,606
410,607
412,606
422,614
426,609
430,610
423,601
428,597
433,600
437,596
437,591
439,593
447,594
444,586
453,589
453,583
454,580
466,590
469,588
473,584
469,576
470,572
476,575
486,582
488,575
492,576
490,563
493,567
499,570
504,563
508,565
512,561
517,561
516,556
520,556
524,556
530,554
534,555
539,551
542,551
545,550
547,547
549,547
549,539
553,539
553,535
564,537
566,538
568,533
565,528
571,530
575,525
578,524
587,524
585,520
590,520
594,517
599,518
